	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	3.e-002	21.857	65.992	23.268	
2	4.e-002	21.912	71.867	23.506	
3	5.e-002	21.959	76.404	23.694	
4	8.e-002	21.982	85.492	24.144	
5	0.16554	22.012	100.69	25.526	
6	0.32806	22.188	117.89	28.471	
7	0.60361	23.337	134.96	33.451	
8	0.90361	25.65	147.06	38.557	
9	1.2036	28.797	155.85	43.297	
10	1.5036	32.478	162.76	47.676	
11	1.8036	36.42	168.51	51.711	
12	2.1036	40.419	173.48	55.419	
13	2.4036	44.335	177.86	58.823	
14	2.7036	48.085	181.77	61.942	
15	3.	50.837	185.27	64.766	
16	3.01	50.908	185.06	64.853	
17	3.02	50.978	184.77	64.937	
18	3.05	51.187	183.49	65.168	
19	3.115	51.617	179.66	65.591	
20	3.1634	51.92	176.39	65.861	
21	3.2086	52.185	173.04	66.072	
22	3.2537	52.426	169.45	66.241	
23	3.2989	52.643	165.63	66.367	
24	3.3476	52.843	161.29	66.451	
25	3.3993	53.018	156.46	66.483	
26	3.4547	53.16	151.07	66.451	
27	3.5146	53.26	145.01	66.341	
28	3.5797	53.304	138.17	66.133	
29	3.6512	53.276	130.42	65.799	
30	3.7302	53.153	121.56	65.304	
31	3.8184	52.901	111.36	64.598	
32	3.9177	52.474	99.521	63.613	
33	4.	52.025	90.488	62.67	
34	4.11	51.302	83.467	61.478	
35	4.22	50.503	78.353	60.28	
36	4.55	48.034	69.181	56.872	
37	5.54	41.982	55.612	48.759	
38	6.64	36.883	47.514	41.936	
39	7.74	33.066	41.289	36.827	
40	8.84	30.222	36.429	33.018	
41	9.94	28.108	32.747	30.185	
42	11.04	26.537	29.991	28.08	
43	12.14	25.37	27.937	26.516	
44	13.24	24.503	26.41	25.354	
45	14.34	23.859	25.276	24.491	
46	15.	23.539	24.712	24.062	
